Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Protein Homooligomerization (GO:0051260)	1/129	1.765625e-01	2.297011e-01	0	0	5.345366e+00	9.269296e+00	SSBP1
GO_Biological_Process_2023	Golgi Organization (GO:0007030)	1/130	1.778056e-01	2.297011e-01	0	0	5.303662e+00	9.159765e+00	STX17
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	1/130	1.778056e-01	2.297011e-01	0	0	5.303662e+00	9.159765e+00	TNFRSF1A
GO_Biological_Process_2023	Regulation Of Cell Cycle Process (GO:0010564)	1/130	1.778056e-01	2.297011e-01	0	0	5.303662e+00	9.159765e+00	CCDC8
GO_Biological_Process_2023	Synapse Organization (GO:0050808)	1/131	1.790470e-01	2.302033e-01	0	0	5.262599e+00	9.052234e+00	CHCHD10
GO_Biological_Process_2023	Epithelial Cell Differentiation (GO:0030855)	1/132	1.802865e-01	2.306984e-01	0	0	5.222164e+00	8.946652e+00	TAGLN
GO_Biological_Process_2023	Regulation Of Protein Kinase B Signaling (GO:0051896)	1/136	1.852267e-01	2.352497e-01	0	0	5.066411e+00	8.542856e+00	AIM2
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	2/525	1.856098e-01	2.352497e-01	0	0	2.655968e+00	4.472939e+00	MAP3K14;TNFRSF1A
GO_Biological_Process_2023	Protein Localization To Plasma Membrane (GO:0072659)	1/137	1.864572e-01	2.352497e-01	0	0	5.028905e+00	8.446315e+00	TNFRSF1A
GO_Biological_Process_2023	Protein Localization To Cell Periphery (GO:1990778)	1/142	1.925829e-01	2.418483e-01	0	0	4.849352e+00	7.987991e+00	TNFRSF1A
GO_Biological_Process_2023	Negative Regulation Of Response To External Stimulus (GO:0032102)	1/146	1.974514e-01	2.460518e-01	0	0	4.714625e+00	7.648362e+00	TNFRSF1A
GO_Biological_Process_2023	Protein Glycosylation (GO:0006486)	1/147	1.986640e-01	2.460518e-01	0	0	4.682097e+00	7.566925e+00	PLOD3
GO_Biological_Process_2023	Dephosphorylation (GO:0016311)	1/147	1.986640e-01	2.460518e-01	0	0	4.682097e+00	7.566925e+00	PTPRR
GO_Biological_Process_2023	Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)	1/149	2.010841e-01	2.479119e-01	0	0	4.618360e+00	7.407997e+00	AIM2
GO_Biological_Process_2023	Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)	1/152	2.047009e-01	2.512238e-01	0	0	4.525919e+00	7.179037e+00	AIM2
GO_Biological_Process_2023	Epithelium Development (GO:0060429)	1/154	2.071033e-01	2.530221e-01	0	0	4.466306e+00	7.032367e+00	TAGLN
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	1/155	2.083019e-01	2.533401e-01	0	0	4.437080e+00	6.960745e+00	EBNA1BP2
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	1/158	2.118871e-01	2.565449e-01	0	0	4.351636e+00	6.752441e+00	HARS2
GO_Biological_Process_2023	Mitochondrion Organization (GO:0007005)	1/162	2.166430e-01	2.602365e-01	0	0	4.242664e+00	6.489174e+00	CHCHD10
