vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
546681,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546682,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546683,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546685,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546687,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546688,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546689,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546691,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546692,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546693,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546694,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546696,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546697,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546698,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546699,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546700,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546701,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546702,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546703,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546709,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546710,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546711,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546714,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546715,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546721,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546722,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546723,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546725,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546726,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546727,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546728,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
546729,ssRNA(+),high level,sustained human-to-human,gastrointestinal,faecal-oral,low level
56094,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
57667,ssRNA-RT,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
586421,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611726,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611728,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611730,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611734,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611737,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611738,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611739,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611740,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611741,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611757,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611758,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611759,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611761,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611762,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611763,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
611764,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
630716,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
630718,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
631345,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
641884,ssRNA(-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
64318,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
