	Mollentze's study	Brierley's study	ViralZone	HVD	Virus-Host DB	VIRION
862149	0.0	0.0	0.0	0.0	0.0	1.0
862150	0.0	0.0	0.0	0.0	0.0	1.0
862151	0.0	0.0	0.0	0.0	0.0	1.0
862152	0.0	0.0	0.0	0.0	0.0	1.0
862153	0.0	0.0	0.0	0.0	0.0	1.0
862154	0.0	0.0	0.0	0.0	0.0	1.0
862155	0.0	0.0	0.0	0.0	0.0	1.0
862156	0.0	0.0	0.0	0.0	0.0	1.0
862157	0.0	0.0	0.0	0.0	0.0	1.0
862158	0.0	0.0	0.0	0.0	0.0	1.0
862159	0.0	0.0	0.0	0.0	0.0	1.0
862160	0.0	0.0	0.0	0.0	0.0	1.0
862161	0.0	0.0	0.0	0.0	0.0	1.0
862162	0.0	0.0	0.0	0.0	0.0	1.0
862163	0.0	0.0	0.0	0.0	0.0	1.0
862164	0.0	0.0	0.0	0.0	0.0	1.0
862165	0.0	0.0	0.0	0.0	0.0	1.0
862166	0.0	0.0	0.0	0.0	0.0	1.0
862167	0.0	0.0	0.0	0.0	0.0	1.0
862168	0.0	0.0	0.0	0.0	0.0	1.0
862169	0.0	0.0	0.0	0.0	0.0	1.0
862170	0.0	0.0	0.0	0.0	0.0	1.0
862171	0.0	0.0	0.0	0.0	0.0	1.0
862172	0.0	0.0	0.0	0.0	0.0	1.0
862173	0.0	0.0	0.0	0.0	0.0	1.0
862174	0.0	0.0	0.0	0.0	0.0	1.0
862175	0.0	0.0	0.0	0.0	0.0	1.0
862176	0.0	0.0	0.0	0.0	0.0	1.0
862177	0.0	0.0	0.0	0.0	0.0	1.0
862178	0.0	0.0	0.0	0.0	0.0	1.0
862179	0.0	0.0	0.0	0.0	0.0	1.0
862180	0.0	0.0	0.0	0.0	0.0	1.0
862181	0.0	0.0	0.0	0.0	0.0	1.0
862182	0.0	0.0	0.0	0.0	0.0	1.0
862183	0.0	0.0	0.0	0.0	0.0	1.0
864560	0.0	0.0	0.0	1.0	0.0	0.0
864623	0.0	0.0	0.0	0.0	0.0	1.0
864624	0.0	0.0	0.0	0.0	0.0	1.0
871260	0.0	0.0	0.0	0.0	0.0	1.0
931244	1.0	0.0	0.0	0.0	0.0	0.0
934413	0.0	0.0	0.0	0.0	0.0	1.0
937784	0.0	0.0	0.0	1.0	0.0	0.0
941285	0.0	0.0	0.0	0.0	0.0	1.0
941292	0.0	0.0	0.0	0.0	0.0	1.0
941293	0.0	0.0	0.0	0.0	0.0	1.0
941305	0.0	0.0	0.0	0.0	0.0	1.0
941317	0.0	0.0	0.0	0.0	0.0	1.0
999535	0.0	0.0	0.0	1.0	0.0	0.0
1032690	0.0	0.0	0.0	1.0	0.0	0.0
1032691	0.0	0.0	0.0	1.0	0.0	0.0
1034800	0.0	0.0	0.0	0.0	0.0	1.0
1072176	1.0	0.0	0.0	0.0	0.0	0.0
1074213	0.0	0.0	0.0	1.0	0.0	0.0
1076281	0.0	0.0	0.0	1.0	0.0	0.0
1076282	0.0	0.0	0.0	1.0	0.0	0.0
1076283	0.0	0.0	0.0	1.0	0.0	0.0
1076284	0.0	0.0	0.0	1.0	0.0	0.0
1076285	0.0	0.0	0.0	1.0	0.0	0.0
1095764	0.0	0.0	0.0	0.0	0.0	1.0
