vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
537534,0.0975,0.8672,0.0155,0.0198,faecal-oral
537535,0.0975,0.8672,0.0155,0.0198,faecal-oral
537539,0.2059,0.7517,0.0174,0.0249,faecal-oral
537543,0.0975,0.8672,0.0155,0.0198,faecal-oral
537547,0.0975,0.8672,0.0155,0.0198,faecal-oral
537550,0.0975,0.8672,0.0155,0.0198,faecal-oral
537551,0.0975,0.8672,0.0155,0.0198,faecal-oral
537552,0.0975,0.8672,0.0155,0.0198,faecal-oral
537553,0.0975,0.8672,0.0155,0.0198,faecal-oral
537555,0.1144,0.8473,0.0159,0.0225,faecal-oral
537557,0.0725,0.8934,0.0152,0.0189,faecal-oral
537558,0.0975,0.8672,0.0155,0.0198,faecal-oral
537559,0.0975,0.8672,0.0155,0.0198,faecal-oral
537560,0.0975,0.8672,0.0155,0.0198,faecal-oral
537561,0.0975,0.8672,0.0155,0.0198,faecal-oral
537563,0.0975,0.8672,0.0155,0.0198,faecal-oral
537565,0.2059,0.7517,0.0174,0.0249,faecal-oral
537566,0.0975,0.8672,0.0155,0.0198,faecal-oral
537570,0.0975,0.8672,0.0155,0.0198,faecal-oral
537573,0.0975,0.8672,0.0155,0.0198,faecal-oral
537574,0.0975,0.8672,0.0155,0.0198,faecal-oral
537577,0.0975,0.8672,0.0155,0.0198,faecal-oral
537578,0.1014,0.8604,0.0200,0.0182,faecal-oral
537584,0.0975,0.8672,0.0155,0.0198,faecal-oral
537587,0.0975,0.8672,0.0155,0.0198,faecal-oral
537588,0.0975,0.8672,0.0155,0.0198,faecal-oral
537589,0.1006,0.8620,0.0167,0.0208,faecal-oral
537591,0.0975,0.8672,0.0155,0.0198,faecal-oral
546676,0.0975,0.8672,0.0155,0.0198,faecal-oral
546677,0.0975,0.8672,0.0155,0.0198,faecal-oral
546678,0.0975,0.8672,0.0155,0.0198,faecal-oral
546679,0.0975,0.8672,0.0155,0.0198,faecal-oral
546680,0.0975,0.8672,0.0155,0.0198,faecal-oral
546681,0.0975,0.8672,0.0155,0.0198,faecal-oral
546682,0.0975,0.8672,0.0155,0.0198,faecal-oral
546683,0.0975,0.8672,0.0155,0.0198,faecal-oral
546685,0.0975,0.8672,0.0155,0.0198,faecal-oral
546687,0.0975,0.8672,0.0155,0.0198,faecal-oral
546688,0.0975,0.8672,0.0155,0.0198,faecal-oral
546689,0.0975,0.8672,0.0155,0.0198,faecal-oral
546691,0.0975,0.8672,0.0155,0.0198,faecal-oral
546692,0.0975,0.8672,0.0155,0.0198,faecal-oral
546693,0.0975,0.8672,0.0155,0.0198,faecal-oral
546694,0.0975,0.8672,0.0155,0.0198,faecal-oral
546696,0.0975,0.8672,0.0155,0.0198,faecal-oral
546697,0.0975,0.8672,0.0155,0.0198,faecal-oral
546698,0.0975,0.8672,0.0155,0.0198,faecal-oral
546699,0.0975,0.8672,0.0155,0.0198,faecal-oral
546700,0.0975,0.8672,0.0155,0.0198,faecal-oral
546701,0.0975,0.8672,0.0155,0.0198,faecal-oral
546702,0.0975,0.8672,0.0155,0.0198,faecal-oral
546703,0.0975,0.8672,0.0155,0.0198,faecal-oral
546709,0.0975,0.8672,0.0155,0.0198,faecal-oral
546710,0.0975,0.8672,0.0155,0.0198,faecal-oral
546711,0.0975,0.8672,0.0155,0.0198,faecal-oral
546714,0.0975,0.8672,0.0155,0.0198,faecal-oral
546715,0.0975,0.8672,0.0155,0.0198,faecal-oral
