feature,class,shap_importance
P11362,vector,0.003400128100328638
Q9UHI6,vector,0.003393130717036314
Q15006,vector,0.0033919090638029224
Q86XX4,vector,0.0033890350146529667
Q96E39,direct contact,0.003384572242549606
O75521,respiratory,0.0033841119983799932
Q8N2W9,faecal-oral,0.0033778145279723675
Q15811,vector,0.0033762641224620886
P46060,faecal-oral,0.0033753254895897817
Q53F19,vector,0.003371853233852998
Q9H0E2,vector,0.003366574867280863
Q92973,faecal-oral,0.0033615497917490298
Q9NQG5,vector,0.0033578457557037547
Q96FW1,direct contact,0.0033513660068620553
Q96B97,vector,0.003347953848305207
Q8TBB1,faecal-oral,0.003345684940826098
Q14160,vector,0.0033444686143382077
Q9H8W4,vector,0.0033430870247923954
Q15139,vector,0.0033415255487982717
P21860,faecal-oral,0.003339664208791653
Q92614,direct contact,0.003333775176055524
P10147,respiratory,0.003333435722644207
Q7Z6Z7,respiratory,0.0033330440622453324
Q8NI60,faecal-oral,0.003330788547004568
P51784,direct contact,0.003326633394417572
O75182,faecal-oral,0.0033248627274475953
P27708,vector,0.003323737281563399
Q96QZ7,vector,0.0033159054500290952
O75251,direct contact,0.0032981559155544275
P01023,direct contact,0.0032963711775374407
Q9HCN8,vector,0.0032930375755420432
Q13123,direct contact,0.0032857497136576245
Q15366,vector,0.003284717932717962
Q8N1B4,vector,0.0032796973740856564
P42858,faecal-oral,0.0032793083966128297
Q92925,direct contact,0.0032716846470273713
Q9BYJ9,vector,0.0032705608184903615
Q9Y3E0,vector,0.003268088731586865
Q13418,vector,0.0032641308301380348
O75478,vector,0.00326395096191345
P60228,vector,0.0032613025871271162
Q14457,direct contact,0.003254155600071479
Q96KQ4,direct contact,0.0032429469692025455
P07384,vector,0.003240997514729246
P31948,faecal-oral,0.003238465808695989
Q9BYN8,respiratory,0.0032364091861516705
P43405,vector,0.003234579268344162
P52732,vector,0.0032328290227735786
O95071,direct contact,0.003219467601724178
P31948,vector,0.003216076903266365
